"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","strahler","length","cum_length","out_dist","spi_min","spi_max","spi_mean","spi_sd","sti_min","sti_max","sti_mean","sti_sd","cti_min","cti_max","cti_mean","cti_sd"
4058494382,508981430,105.6,133.8,112.16,7.9439,0.0055,4864.9976,948.6623,1905.7231,7,1074.8848,198631.92,541584.7,0,405872,37045.457,90447.86,1,9613,646.1857,1850.7345,-311772770,1290877300,113976440,544545600
4058549629,506539304,31.2,47,38.5919,5.0323,0.0051,69.7835,13.1944,27.2928,5,438.4818,18142.336,60071.42,0,2489,387.8378,809.0815,5,438,80.4595,114.1305,-271595580,791166800,10999949,372277440
4058486834,509708645,197,205.3,201.6929,3.5921,0.0056,693.8766,247.7848,332.4106,6,302.4823,52494.773,766246.3,0,15743,3884.5,5493.996,7,438,78.5,114.5599,-227053650,1109466600,281761500,595735230
4058609507,508583916,233.9,272,245.7911,10.1873,0.0054,21.5322,2.6776,7.027,4,512.5022,7791.862,612130.3,0,830,67.4643,184.8789,15,313,58.5536,47.8371,-235708580,717375600,-22704958,271393020
4058529294,508444225,40.3,53.6,47.6556,5.4126,0.0054,1560.402,462.8981,669.4425,7,219.1544,89461.67,338398.38,0,86484,24035.334,35019.582,17,3172,933,1273.0923,-311173600,1035149250,168771660,602374140
4058602686,507586747,64,86.3,70.8844,5.8796,0.0053,63.4755,9.8403,22.8388,5,678.248,21909.86,479145.66,0,3059,363.6889,876.6879,4,711,107.4222,171.4191,-291932540,823064100,10003412,332432860
4058509672,509007636,258.5,355.5,308.1689,27.9908,0.0055,9.2225,1.0162,2.7661,3,694.4661,6884.9116,601515.06,0,1435,89.3667,256.8202,11,1924,267.2111,291.395,-346017630,525725000,-167831700,242942190
4058468013,507069768,24.2,28.3,24.3508,0.615,0.0052,1302.6425,299.2251,365.5353,8,1004.8472,217180.31,271145.7,0,20844,3192.9646,4181.8867,0,254,9.6548,38.3389,-173331950,1152369700,738137700,396477020
4058505429,508971884,114.6,179.8,133.7907,16.1171,0.0055,69.5983,10.2399,24.001,5,1792.9026,21612.756,553203.8,0,9555,442.4429,1309.6919,1,3484,183.4214,423.6564,-367545060,840159400,-37398468,356703000
4058494565,509299667,88.4,96.4,93.1286,2.3037,0.0055,130.1927,37.18,58.7747,5,749.3286,27614.428,601074.56,0,4279,968.7143,1554.1953,1,482,92.8,144.5471,-204117120,879845300,140664770,452481760
4058567366,506767541,57.8,72.6,64.9348,5.3263,0.0051,261.0523,75.3591,115.0078,6,491.5369,39939.38,557569.6,0,20532,3364.087,5882.953,13,2656,360,676.0336,-294874460,944250900,106389840,509321980
4058528046,508428255,181,224.5,191.7,11.7271,0.0063,908.4931,161.3666,313.4648,6,294.9814,88396.375,608785.3,0,57647,9598.941,18352.852,11,7716,1114.0588,1997.9537,-354975620,1080404500,99427510,495205700
4058568580,507326871,58.6,62.7,59.7118,1.2276,0.0052,1879.6775,368.3648,707.0235,7,310.1334,100819.13,261832.28,0,31507,4974.706,9615.809,1,312,44.1176,75.5364,-204354750,1205955000,285261100,525140320
4058552437,506603813,32.8,45,39.7686,3.8761,0.0051,25.06,4.2863,9.3961,4,489.7755,10454.958,75545.23,0,1354,148.7143,344.9276,3,590,63.2286,121.9944,-230743680,707042370,-13488081,316640600
4058488388,507684639,61.9,66.4,63.6025,1.1309,0.0053,115.2027,20.5976,43.197,5,1008.8832,33656.4,296084.3,0,2874,361.6667,798.6858,0,274,24.6914,60.0824,-155802420,924174140,137679470,378604480
4058488024,507937479,93.5,96.4,95.6778,1.166,0.0053,129.943,28.8774,54.0147,5,218.3745,29322.363,566797.6,0,1948,381.2222,721.5739,1,67,12.1111,19.7115,-168297580,933982000,94461070,442045700
4058504946,509118377,143.7,213.8,172.8913,25.329,0.0055,82.1075,5.9965,19.7305,4,202.8298,17250.594,675470.56,0,2250,163.0435,529.9506,11,311,159.0435,96.4408,-298421440,800497300,-96734960,291897860
4058551824,506438607,2.2,8.5,5.35,3.15,0.0142,217.7847,108.8994,108.8852,6,92.753,38385.574,23083.268,1,3184,1592.5,1591.5,62,74,68,6,-183529020,960890800,388680900,572209900
4058511838,507470393,34.1,37.8,35.8,1.255,0.0053,107.195,26.8006,46.4091,6,217.6383,28324.537,442179.3,0,2625,521.375,942.4759,1,246,40.375,79.4055,-166645010,891306800,125876910,427375140
4058607842,507193312,31.3,32.8,32.1125,0.57,0.0052,6374.8857,1992.1307,2954.7993,8,334.5562,252504.67,185027.03,0,87340,23748.312,35449.04,0,214,31.5625,58.693,-128636030,1333969700,339153500,660979140
4058633101,506292274,0.3,6.1,1.2111,1.6904,0.005,2.4367,0.7048,0.9627,3,537.6705,2730.619,2871.3503,0,69,10.8889,17.1277,0,84,10.037,16.5965,-208985820,544367400,133154390,282241400
4058591914,508315069,146.2,156.4,148.1741,2.9111,0.0054,2985.2622,654.3751,1198.8419,7,486.3584,170386.3,484244.62,0,135822,15104.296,32273.955,0,2986,244.3704,615.2185,-209368540,1231669500,313107970,567329340
