"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","outlet_dist_dw_basin_min","outlet_dist_dw_basin_max","outlet_dist_dw_basin_mean","outlet_dist_dw_basin_sd","outlet_dist_dw_scatch_min","outlet_dist_dw_scatch_max","outlet_dist_dw_scatch_mean","outlet_dist_dw_scatch_sd","channel_dist_up_seg_min","channel_dist_up_seg_max","channel_dist_up_seg_mean","channel_dist_up_seg_sd","strahler"
4058505670,509011474,268.8,318.3,287.2364,12.0779,0.0055,9.4315,1.2381,2.8386,692427,693255,692828.4,196.8269,0,828,401.2045,196.869,93,498,302.4,143.267,3
4058509681,509200252,277.6,327.4,294.0714,11.0419,0.0085,18.2728,3.4403,6.4986,805752,806328,806083.94,144.2212,0,576,332.0357,144.2031,93,463,278,130.9565,4
4058504602,509204608,266.5,301.9,283.13,9.266,0.0087,28.6419,4.6577,7.9512,805364,805754,805572.2,101.4197,0,390,208.45,101.394,60,340,187,107.1518,3
4058510708,508661715,221.2,247.4,230.2333,7.465,0.0129,58.0335,19.2978,27.165,569484,569821,569628,92.07,0,337,144,92.07,59,176,117.3333,47.7656,5
4058510655,508284343,245.9,259.9,253.78,4.8705,0.0208,0.0594,0.0411,0.0138,475849,476016,475939,56.7274,0,168,90.2,56.9996,58,168,113,55,1
4058509568,508401507,234.4,369.5,271.14,32.7343,0.0054,61.5763,7.3717,19.9144,519051,520251,519617.38,273.0918,0,1200,566.25,273.0438,58,803,400.5833,228.8993,5
4058505687,508346409,243.2,272.3,254.92,11.7333,0.006,11.7393,4.6631,5.688,506367,506552,506466,59.0695,0,185,99.6,59.1155,93,185,139,46,4
4058548522,508622153,218.3,280.3,235.4182,19.3975,0.0054,2775.0125,378.3992,952.2344,602110,602674,602393.56,140.9219,0,564,283.7273,140.8004,93,295,196.6667,82.5523,7
4058509648,508849157,429.4,509.4,459.5514,22.4505,0.0075,77.9277,4.9575,17.721,645179,646057,645638.75,249.0027,0,878,459.6757,248.9764,110,220,165,55,5
4058504690,508546811,248.3,367.8,294.8613,26.9449,0.0054,9.2073,1.3148,2.994,553827,555297,554552.5,346.6802,0,1470,725.7453,346.6145,110,1134,615,292.6292,4
4058618541,508937033,375.4,529.1,432.3816,44.6538,0.0063,53.3206,6.121,16.5615,639827,641247,640554.75,328.0529,0,1420,727.699,328.0725,59,913,494.75,277.1522,4
4058579992,508668483,517.1,617,557.9481,25.1392,0.0054,5.9166,0.9587,2.0791,758100,759195,758678.75,280.1181,0,1094,578.4051,280.0901,110,866,501.6154,235.9741,3
4058491279,508802362,475.6,509.6,492.6072,9.4767,0.0055,14.6312,4.1196,6.3587,708133,708539,708367.94,122.019,0,405,234.4286,121.705,110,388,249,103.5302,4
4058635017,508971379,408.9,413.6,411.6857,1.8939,0.0055,69.6279,19.6279,30.976,727160,727329,727275.9,59.7027,0,169,115.8571,59.7027,59,169,114,55,4
4058635091,508930093,535.6,629.7,572.2737,26.4251,0.0094,9.1975,1.7805,3.4599,739751,740360,740040.5,158.2767,0,609,289.3684,158.267,110,313,214.3333,82.9712,3
4058583178,508761078,505,620,536.7667,34.1837,0.0152,41.6763,9.9052,17.5212,701824,702220,702063.1,114.7029,0,396,239,114.6244,59,345,217.6,98.6623,4
4058491229,508821771,647.6,741.6,677.7697,19.9981,0.0055,3.1813,0.3413,0.8494,704212,704997,704645.75,199.4815,0,785,434.3333,199.387,110,726,437.5,193.6104,2
4058583223,508649297,312.2,350.6,322.5533,10.9357,0.0095,45.1496,11.9643,19.7812,733833,734221,734052.2,112.6163,0,388,218.8667,112.816,110,337,236,83.86,5
4058491247,508699277,353.1,464.1,384.4772,28.3625,0.0054,24.321,4.3978,9.0574,741460,742473,741924.44,244.0444,0,1012,464.1228,244.0535,110,920,503.3333,260.8657,4
4058627952,508851876,471.9,551,500.15,23.729,0.008,15.0607,3.0668,5.8664,718754,719142,718971.9,98.1776,0,389,218.7143,98.3721,110,279,203,70.0333,4
