"id","subc_id","c10","c20","c30","c40","c50","c60","c70","c80","c90","c100","c110","c120","c130","c140","c150","c160","c170","c180","c190","c200","c210","c220"
4058488865,509739120,0.4098,0,0.0897,0,0,0.1259,0,0,0.0037,0.0274,0,0,0.3303,0,0,0,0,0,0.0133,0,0,0
4058567366,506767541,0.3819,0,0.0101,0.0036,0,0.1005,0.2512,0,0.0515,0.0305,0.0054,0,0.0466,0,0,0,0,0.0023,0.0045,0,0.1119,0
4058522584,508466403,0.9131,0,0.0254,0,0,0,0,0,0.0031,0.0049,0,0,0.0428,0,0,0,0,0,0.0108,0,0,0
4058565032,508504396,0.004,0,0,0.0156,0,0.0199,0.4863,0,0.2073,0.1057,0,0,0.0709,0,0,0,0,0,0.0903,0,0,0
4058539759,506627827,0,0,0.656,0,0,0,0,0,0,0.188,0,0,0.156,0,0,0,0,0,0,0,0,0
4058567038,508944014,0.2063,0,0.0391,0.008,0,0.0081,0.3754,0,0.0133,0.1154,9e-04,0,0.1846,0,0,0,0,0,0.0411,0,0.0078,0
4058486431,508677878,0.0154,0,0.0382,0.024,0,0.0638,0.1404,0,0.1169,0.2079,0.0069,0,0.2828,0,0,0,0,0,0.1,0,0.0038,0
4058538795,506440890,0.2013,0,0.0589,0,0,0.0324,0.0717,0,0,0.0144,0,0,0.6195,0,0,0,0,0,0.0018,0,0,0
4058570924,508638245,0.0048,0,0.0132,0.0291,0,0.0656,0.2714,0,0.1474,0.1922,0.0045,0,0.1,0,0,0,0,0,0.167,0,0.0049,0
4058465357,507001498,0.2141,0,0.019,0.0034,0,0.033,0.428,0,0.0652,0.0422,0.0044,0,0.0639,0,1e-04,0,0,0.0086,0.016,0,0.102,0
4058552963,506298975,0.2294,0,0.034,0.026,0,0.0103,0.015,0,0.0077,0.0154,0,0,0.6161,0,0,0,0,0.0124,0.0338,0,0,0
4058468013,507069768,0.3416,0,0.0407,0.0027,0,0.0201,0.3012,0,0.0311,0.0338,0.0109,0,0.1564,0,0,0,0,0.0061,0.0139,0,0.0413,0
4058503931,507804526,0.5818,0,0.0623,0.0059,0,0.0093,0.1669,0,0.0107,0.0536,0,0,0.0586,0,0,0,0,0,0.0372,0,0.0137,0
4058594382,507640030,0.9313,0,0.0044,0,0,0,0,0,0,0,0,0,0.0198,0,0,0,0,0,0.0445,0,0,0
4058576197,507630614,0.849,0,0.0079,0.002,0,0.0458,4e-04,0.0018,0.0013,0.0029,0,0,0.0504,0,1e-04,0,0,0,0.037,0,0.0013,0
4058617083,508174552,0.9148,0,0,0,0,0.0016,0.0025,0,2e-04,0.0093,0,0,0.0054,0,0,0,0,0,0.0661,0,0,0
4058550781,507968887,0.1173,0,0.0179,0,0,0,0.493,0,0.0239,0.0252,0,0,0.2745,0,0,0,0,0.0482,0,0,0,0
4058519641,507207375,0.5437,0,0.0317,0.0057,0,0.065,0.1455,0,0.0142,0.0382,2e-04,0,0.0532,0,1e-04,0,0,0.0027,0.0945,0,0.0054,0
4058626284,507623822,0.7333,0,0.0346,0.0028,0,0.1121,0.0106,0,0.0332,0.0346,0,0,0.0164,0,0,0,0,0,0.0225,0,0,0
4058494565,509299667,0.1379,0,0.0174,0.018,0,0.1846,0.0944,0,0.1189,0.1143,0,0,0.0345,0,0.0085,0,0,0,0.2677,0,0.0039,0
4058545409,507173161,0.2617,0,0.015,0.0162,0,0.0456,0.3081,0,0.0742,0.061,0.0018,0,0.0378,0,0,0,0,0,0.1697,0,0.009,0
4058463558,508189250,0.0153,0,0.0265,0.0155,0,0.0266,0.3929,1e-04,0.1399,0.1527,0.0078,0,0.1687,0,0,0,0,0,0.054,0,0,0
