"id","subc_id","bio1_min","bio1_max","bio1_mean","bio1_sd","bio12_min","bio12_max","bio12_mean","bio12_sd","bio15_min","bio15_max","bio15_mean","bio15_sd"
4058539840,506532136,9.05,9.05,9.05,0,832.5,833.8,833.15,0.65,16,16,16,0
4058612817,506451745,8.95,8.95,8.95,0,879.7,883.1,881.8116,1.5729,15.9,16,15.913,0.0337
4058612984,506433795,8.95,8.95,8.95,0,892.8,898.2,893.6926,1.1463,16.9,16.9,16.9,0
4058538970,506544827,9.15,9.15,9.15,0,818.5,820.7,819.9474,0.7397,16.4,16.4,16.4,0
4058516045,507474203,9.55,9.55,9.55,0,725.3,725.3,725.3,0,12.7,12.7,12.7,0
4058623044,507152475,9.55,9.65,9.6237,0.044,750,751.9,751.0105,0.4855,12.7,12.8,12.7368,0.0482
4058520014,506616117,9.25,9.25,9.25,0,847.5,854.1,849.3786,1.8895,16.4,16.5,16.4905,0.0294
4058516024,506612601,9.15,9.25,9.2476,0.0152,845.5,858.4,849.6452,3.5783,16.5,16.5,16.5,0
4058538849,506421927,8.95,8.95,8.95,0,927.2,932.9,932.0857,1.9946,17.1,17.1,17.1,0
4058612929,506422776,8.95,8.95,8.95,0,927.2,932.9,928.34,2.28,17.1,17.1,17.1,0
4058538856,506434057,8.95,8.95,8.95,0,901.9,902.6,902.04,0.28,18,18,18,0
4058539811,506423614,8.95,8.95,8.95,0,913,916.7,915.775,1.6021,18.2,18.2,18.2,0
4058621002,506483807,9.05,9.05,9.05,0,878.9,880.6,879.3333,0.7409,17.8,17.9,17.8255,0.0436
4058542859,506511075,9.15,9.15,9.15,0,869.3,871.8,870.4473,0.7089,17.5,17.6,17.5782,0.0413
4058620975,506423314,8.95,8.95,8.95,0,923.8,923.8,923.8,0,19.3,19.3,19.3,0
4058558974,506568041,9.25,9.25,9.25,0,857.7,857.7,857.7,0,17.1,17.1,17.1,0
4058602026,506716187,9.35,9.35,9.35,0,833,833,833,0,15.7,15.7,15.7,0
4058516061,506824889,9.45,9.55,9.5071,0.0495,793.5,798.5,795.5667,2.2068,15.1,15.1,15.1,0
4058602064,506849627,9.45,9.45,9.45,0,789.2,792.8,790.6224,1.0412,15,15.1,15.0566,0.0496
4058587042,506296252,8.85,8.85,8.85,0,866.2,868.1,867.0957,0.8839,23.7,23.8,23.7217,0.0412
4058620814,506270805,8.75,8.75,8.75,0,876.8,876.9,876.8902,0.0297,23.3,23.3,23.3,0
4058536889,506330223,8.85,8.85,8.85,0,911,912.5,912.2,0.6,21.7,21.8,21.78,0.04
4058536814,506293244,8.75,8.75,8.75,0,890.5,891.7,890.7769,0.5056,22.8,22.9,22.8231,0.0421
4058612931,506362737,8.75,8.75,8.75,0,969.4,975.6,972.2444,3.0019,21.1,21.2,21.1444,0.0497
4058539053,506312752,8.75,8.75,8.75,0,892.4,892.4,892.4,0,20.1,20.1,20.1,0
4058543011,506259233,8.65,8.65,8.65,0,886,886.5,886.4375,0.1654,21.9,21.9,21.9,0
4058550665,507609533,9.75,9.75,9.75,0,827.7,828,827.7063,0.0428,13.5,13.5,13.5,0
4058600077,507020898,9.65,9.65,9.65,0,766.4,769.4,768.3565,1.4288,14,14,14,0
4058459673,507250322,9.75,9.75,9.75,0,738.5,740.4,740.3596,0.2742,13.4,13.5,13.4021,0.0144
4058546683,507486372,9.65,9.65,9.65,0,844.2,850.2,846.3818,2.8863,12.7,12.7,12.7,0
4058550755,507247852,9.75,9.75,9.75,0,733.5,737,734.8863,1.3657,13.5,13.6,13.5078,0.0269
4058602048,506905711,9.45,9.55,9.5441,0.0235,796.4,800,796.6118,0.8471,14.3,14.3,14.3,0
4058559036,506859919,9.55,9.55,9.55,0,770.2,770.2,770.2,0,14.7,14.7,14.7,0
4058600031,506774889,9.45,9.45,9.45,0,810.6,816.5,811.0425,1.554,15.6,15.6,15.6,0
4058600065,506819918,9.45,9.55,9.5085,0.0493,787.9,788.4,787.9963,0.132,15,15.1,15.0061,0.0239
4058600009,506762426,9.45,9.45,9.45,0,799.5,800.6,799.7547,0.2857,15.7,15.8,15.7674,0.0469
4058520021,506772829,9.45,9.45,9.45,0,806.1,810.8,808.8625,2.2927,15.6,15.7,15.6208,0.0406
4058500623,508971915,9.95,9.95,9.95,0,703.9,706.8,704.915,1.3832,13.9,13.9,13.9,0
4058456638,507938709,9.85,9.95,9.86,0.03,881.6,881.8,881.78,0.06,12,12.1,12.01,0.03
4058588605,509348778,10.55,10.55,10.55,0,653,659.7,657.816,2.4683,15.6,15.9,15.692,0.0891
4058493599,508450571,9.05,9.15,9.0682,0.0386,663.1,668.7,664.1182,2.1599,14.1,14.2,14.1182,0.0386
4058500633,508009762,9.15,9.35,9.2468,0.0999,795.2,801,797.871,2.8029,12.8,12.8,12.8,0
4058493625,508872211,8.95,8.95,8.95,0,761,764,763.8065,0.737,10.6,10.6,10.6,0
4058615643,507865887,6.85,7.05,6.9625,0.0992,986.3,1012.2,993.9813,7.7431,14,14.3,14.0688,0.0982
4058490493,508529461,8.95,8.95,8.95,0,699.2,699.2,699.2,0,12.5,12.5,12.5,0
4058634337,508493740,8.95,8.95,8.95,0,737,737,737,0,12.4,12.4,12.4,0
4058600048,507889874,9.15,9.15,9.15,0,736.7,744.8,741.5,3.9799,12.9,12.9,12.9,0
4058620818,506603813,8.95,8.95,8.95,0,810.6,810.6,810.6,0,14.9,14.9,14.9,0
4058587030,506472307,8.85,8.85,8.85,0,820.3,825.7,821.9784,2.4993,15.1,15.2,15.1689,0.0463
4058629928,506598488,8.95,8.95,8.95,0,843.9,847,846.6737,0.9514,15,15,15,0
4058542823,506597370,8.95,8.95,8.95,0,841.8,848.2,845.7367,2.5733,15,15.1,15.0389,0.0487
4058539974,506516616,8.95,8.95,8.95,0,846,848.5,847.1538,1.2463,15.2,15.2,15.2,0
4058612799,506520910,8.95,8.95,8.95,0,851.8,851.8,851.8,0,15.2,15.2,15.2,0
4058612840,506503334,8.95,8.95,8.95,0,844,848,845.7541,1.4963,15.2,15.2,15.2,0
4058587016,506399368,8.85,8.85,8.85,0,888.3,888.3,888.3,0,16.4,16.4,16.4,0
4058629842,506304160,8.85,8.85,8.85,0,767.6,772.3,767.9615,1.2524,16.9,16.9,16.9,0
4058536927,506331919,9.05,9.05,9.05,0,754.4,754.4,754.4,0,16.5,16.5,16.5,0
4058538943,506326215,9.15,9.15,9.15,0,689,694.1,689.6,1.6432,17,17,17,0
4058585562,508015378,7.75,8.05,7.95,0.0744,650.3,658.9,651.7809,2.6388,15.9,16,15.9723,0.0447
4058505107,506591509,8.95,8.95,8.95,0,710.6,712.6,711,0.8,14.5,14.6,14.52,0.04
4058539871,506513694,8.85,8.85,8.85,0,715.8,724.3,717.9833,2.9464,16.1,16.2,16.1389,0.0487
4058612908,506483575,8.95,8.95,8.95,0,705.7,705.7,705.7,0,17,17,17,0
4058621040,506425359,8.95,8.95,8.95,0,729.4,734.8,734.1368,1.7724,17.3,17.3,17.3,0
4058538800,506438606,8.95,8.95,8.95,0,745.9,749.6,748.0143,1.831,17.3,17.3,17.3,0
4058620943,506472591,8.95,8.95,8.95,0,743.6,743.6,743.6,0,16.5,16.5,16.5,0
4058629999,506539304,8.85,8.85,8.85,0,775.6,780.4,776.3784,1.7693,15.4,15.5,15.4838,0.0369
4058630042,506539304,8.85,8.85,8.85,0,775.6,780.4,776.3784,1.7693,15.4,15.5,15.4838,0.0369
4058521027,506810786,9.35,9.35,9.35,0,682.9,683.5,683.25,0.2958,14.2,14.3,14.2417,0.0493
4058594645,506973186,9.55,9.55,9.55,0,630.5,632.7,631.5865,0.9112,15.6,15.7,15.6432,0.0495
4058511157,506414345,8.85,8.95,8.89,0.049,651.8,658.4,655.76,3.2333,18.1,18.1,18.1,0
4058585589,506922210,9.45,9.45,9.45,0,606.4,608.1,607.6278,0.7614,16.4,16.4,16.4,0
4058495599,507588068,9.55,9.55,9.55,0,544.3,547.3,546.0556,0.9574,21.3,21.5,21.4012,0.0762
4058495629,507422817,9.55,9.65,9.6194,0.0461,557,558.2,557.3667,0.5528,20.4,20.4,20.4,0
4058496576,507164733,9.65,9.65,9.65,0,569.9,571.7,570.38,0.7777,18.5,18.6,18.596,0.0196
4058543560,507844499,9.65,9.75,9.7315,0.0388,560.2,561.9,561.0827,0.6348,22.4,22.5,22.4383,0.0486
4058502627,508215985,9.75,9.75,9.75,0,554.5,555.9,555.2648,0.6176,24.4,24.5,24.4232,0.0422
4058579332,508197244,9.25,9.25,9.25,0,548.4,548.4,548.4,0,17.6,17.6,17.6,0
4058496567,507689505,9.35,9.35,9.35,0,571.7,573.3,572.46,0.5938,19.3,19.6,19.4745,0.1099
