"id","subc_id","elev_mean","flowpos_mean","X.column.","length","X.column...7","out_dist","spi_mean","sti_mean","cti_mean"
4058568515,507176838,187.5663,17.6238,NA,454.3269,NA,321981.9663,394.4363,92.9975,-38112714.7059
4058568580,507326871,165.7108,6.2768,NA,438.2071,NA,314969.4246,146.6435,61.584,-10727573.2271
4058570924,508638245,379.3336,2.7656,NA,436.9827,NA,549244.8368,148.8134,219.2851,-150050524.0271
4058574059,508263368,358.996,15.5402,NA,436.4302,NA,576210.2591,589.3811,162.3062,-87604424.1447
4058576197,507630614,124.8997,4.5575,NA,452.632,NA,513359.1422,73.5897,30.4597,6977015.0602
4058576975,508180265,132.6355,0.6713,NA,663.0411,NA,21673.8956,12.4567,9.9603,7848488.4545
4058578509,507917647,50.9101,0.6425,NA,422.4319,NA,266639.4464,15.6231,17.8664,-4969479.4082
4058579778,508556173,470.3013,13.7441,NA,426.6584,NA,723334.9385,690.6321,199.5012,-101767540.6205
4058582701,508665800,537.3795,1.7897,NA,445.3691,NA,748858.5586,104.161,259.8002,-133538537.5739
4058583314,508423123,165.3759,0.3717,NA,379.7353,NA,692732.0433,6.4526,7.7382,19124472.3974
4058584343,508669801,225.0303,4.6176,NA,655.8282,NA,697096.0156,104.0819,47.2687,-40151800
4058584871,509302192,122.0142,0.9517,NA,442.0373,NA,613970.625,19.8616,19.1815,4254509.7631
4058591914,508315069,361.1829,15.7069,NA,431.703,NA,590343.8456,551.789,159.9971,-92897350.213
4058592641,507540377,89.6821,2.1631,NA,401.8934,NA,392573.6183,38.2931,12.1698,21678192.033
4058594382,507640030,114.1582,2.2413,NA,399.4495,NA,486130.7361,51.1441,23.3072,15014983.0086
4058601973,506612201,32.6166,1.858,NA,386.3349,NA,27132.6094,43.936,18.2188,7813817.1447
4058602686,507586747,93.1794,1.6975,NA,574.1978,NA,480367.3854,62.7726,39.9873,-47647786.8333
4058607842,507193312,188.6313,17.2252,NA,454.5575,NA,323020.3126,389.2012,93.5793,-38529360.4312
4058609029,507762112,61.3127,1.5292,NA,373.1161,NA,649044.5391,37.9758,13.1426,5752171.4375
4058609507,508583916,270.0684,0.5688,NA,441.3102,NA,615663.1791,18.8405,35.7795,-36004428.9889
4058609807,508748682,445.6101,0.6559,NA,495.4186,NA,659607.9688,19.2762,41.4148,-61870534.5
4058610695,508082108,286.6408,3.1618,NA,439.8467,NA,461085.9844,322.9427,116.4296,-62917551.7
4058613271,506463635,38.1741,0.5284,NA,468.3402,NA,85926.7687,11.3944,17.9885,-8293280.1981
4058613578,507660353,121.3116,0.6671,NA,392.5029,NA,271273.5598,13.162,22.5624,8844108.6714
4058617083,508174552,159.9695,0.3135,NA,444.229,NA,545146.0817,5.901,10.089,3454568.5649
4058626284,507623822,190.3861,1.5879,NA,441.5687,NA,282313.6918,57.8679,102.6078,-79355175.8216
4058628671,507763324,97.2803,0.7666,NA,395.526,NA,300907.3488,25.022,25.2174,12990522.8583
4058633101,506292274,12.8849,0.2796,NA,519.3483,NA,3792.3525,5.5658,22.3029,33687473.446
4058634032,508490965,305.3747,2.5469,NA,447.7887,NA,612111.2218,54.8276,26.7272,9399321.5566
4058634984,508280090,371.9565,0.9923,NA,518.1737,NA,749845.9109,38.5016,69.8218,-44637395.7759
