"id","subc_id","awcts_min","awcts_max","awcts_mean","awcts_sd","clyppt_min","clyppt_max","clyppt_mean","clyppt_sd","sndppt_min","sndppt_max","sndppt_mean","sndppt_sd","sltppt_min","sltppt_max","sltppt_mean","sltppt_sd","wwp_min","wwp_max","wwp_mean","wwp_sd","orcdrc_min","orcdrc_max","orcdrc_mean","orcdrc_sd","phihox_min","phihox_max","phihox_mean","phihox_sd","bldfie_min","bldfie_max","bldfie_mean","bldfie_sd","cecsol_min","cecsol_max","cecsol_mean","cecsol_sd","crfvol_min","crfvol_max","crfvol_mean","crfvol_sd","acdwrb_min","acdwrb_max","acdwrb_mean","acdwrb_sd","bdricm_min","bdricm_max","bdricm_mean","bdricm_sd","bdrlog_min","bdrlog_max","bdrlog_mean","bdrlog_sd","histpr_min","histpr_max","histpr_mean","histpr_sd","slgwrb_min","slgwrb_max","slgwrb_mean","slgwrb_sd"
4058594382,507640030,38,41,39.2143,0.8874,18,25,20.9762,1.9699,21,45,34.9286,6.2465,37,55,44.2857,5.3018,19,22,20.5,0.9574,7,10,8.4286,0.8492,64,72,67.6667,2.3971,1484,1534,1509.7144,15.9393,13,16,14.2381,0.9209,9,11,9.2381,0.526,0,1,0.3333,0.4714,200,200,200,0,1,6,3.4524,1.4508,0,4,3.0952,0.9209,0,0,0,0
4058501821,507094152,43,43,43,0,19,24,20.6939,1.0143,44,56,48.2653,3.25,25,35,31.3878,2.5937,20,23,21.4694,0.9498,19,32,22.4694,2.865,70,73,71.6531,0.6866,1395,1410,1404.9592,3.5741,23,28,25.3469,1.3931,6,8,6.5714,0.8806,0,0,0,0,200,200,200,0,1,7,5.9184,1.1399,3,6,4.1224,0.9177,0,0,0,0
4058465357,507001498,38,42,40.1429,1.5518,9,14,11.0952,1.6302,67,75,70.8571,2.9966,16,20,17.9524,1.3965,11,15,12.9524,1.3965,21,51,33.1429,11.1709,57,62,60.1905,1.8158,1396,1493,1442,40.6788,11,15,13.4762,1.6218,8,9,8.4762,0.4994,1,2,1.2381,0.4259,200,200,200,0,5,17,12.3333,3.2854,5,8,6.3333,1.1684,0,0,0,0
4058550781,507968887,40,40,40,0,25,27,26.4545,0.782,26,28,27.4545,0.6556,45,48,46.1818,1.0285,22,23,22.0909,0.2875,9,45,15.1818,9.5519,56,64,59.6364,2.7394,1483,1504,1495.5455,8.3706,13,14,13.2727,0.4454,16,18,17.0909,0.9,1,1,1,0,200,200,200,0,14,18,15.0909,1.4431,0,1,0.9091,0.2875,0,0,0,0
4058576197,507630614,39,41,39.5652,0.5768,19,23,20.7391,1.7249,33,38,35.1304,0.9915,41,46,44.3478,1.8084,20,21,20.5217,0.4995,12,27,17.913,5.7703,70,71,70.3043,0.4601,1470,1527,1504.3043,19.432,14,15,14.7391,0.4391,8,9,8.4783,0.4995,0,0,0,0,200,200,200,0,1,3,2.1304,0.6792,2,5,3.2174,1.2496,0,0,0,0
4058583314,508423123,41,41,41,0,26,27,26.6667,0.4714,45,45,45,0,27,29,27.6667,0.7454,20,21,20.5,0.5,16,19,16.5,1.118,70,71,70.8333,0.3727,1484,1487,1485.8333,1.2134,15,17,16.3333,0.7454,9,10,9.5,0.5,0,0,0,0,200,200,200,0,9,11,10.3333,0.9428,2,3,2.1667,0.3727,0,0,0,0
4058546109,507091770,42,44,43.0566,0.7115,20,24,21.0189,1.1573,41,55,49.7736,4.2232,25,36,29.2642,3.6454,18,23,20.434,1.5723,13,26,18.2642,3.1632,72,74,72.8302,0.6933,1378,1414,1398.2642,12.3168,19,27,22.283,3.2119,6,7,6.283,0.4505,0,0,0,0,200,200,200,0,1,5,2.8679,1.0286,3,5,4.1698,0.6933,0,0,0,0
4058503442,507509850,38,39,38.2759,0.4469,17,20,18.6207,1.0959,28,36,32.3103,2.9723,46,54,49.2069,2.6048,20,20,20,0,6,11,8.8276,1.3408,61,67,63.5172,1.8868,1511,1549,1530.4828,8.8186,11,13,12.1724,0.746,10,14,11.7931,1.1855,0,1,0.8966,0.3045,200,200,200,0,3,9,6.7241,1.6166,2,4,3.3793,0.611,0,0,0,0
4058485388,508604480,39,40,39.875,0.3307,22,23,22.5625,0.4961,36,38,36.5625,0.7043,40,41,40.75,0.433,21,22,21.125,0.3307,5,8,7.125,0.857,68,70,68.875,0.857,1489,1511,1504.5625,7.5744,14,22,15.9375,2.5117,12,13,12.5,0.5,0,0,0,0,200,200,200,0,5,9,6.375,1.3636,2,3,2.25,0.433,0,0,0,0
4058557790,508039386,38,38,38,0,10,11,10.5455,0.4979,74,76,74.7273,0.6166,14,15,14.9091,0.2875,11,11,11,0,9,18,16.4545,2.5357,58,60,58.8182,0.936,1485,1490,1487.1818,2.4052,8,9,8.9091,0.2875,8,9,8.0909,0.2875,1,1,1,0,200,200,200,0,7,11,8.7273,1.9113,8,9,8.4545,0.4979,0,0,0,0
